Spine term name,Spine term definition,Spine term class/type,Spine term range,Spine term origin,Mapping predicate label,Mapping predicate definition,Mapped term name,Mapped term definition,Mapped term class/type,Mapped term range,Mapped term origin,Comments,Transformation notes
evidence,IRI or document describing the work that the recipient did to earn the achievement. This can be a page that links out to other pages if linking directly to the work is infeasible.,"",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
issuedOn,Timestamp of when the achievement was awarded.,"",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
recipient,The recipient of the achievement.,"",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
identifier,Links a resource to an adms:Identifier class.,"","",ELM Micro-Credential,,,,,,,,
Type,The nature or genre of the resource.,"","",ELM Micro-Credential,,,,,,,,
schema agency,"The name of the agency that issued the identifier.
This property is deprecated because in in HTML specification another URI was used.","","",ELM Micro-Credential,,,,,,,,
schema agency,The name of the agency that issued the identifier.,"","",ELM Micro-Credential,,,,,,,,
Date Issued,"Date of formal issuance of the resource.
The date of formal issuance of the resource.","","",ELM Micro-Credential,,,,,,,,
notation,"This property assigns a notation as a typed litera
A notation, also known as classification code, is a string of characters such as ""T58.5"" or ""303.4833"" used to uniquely identify a concept within the scope of a given concept scheme.","","",ELM Micro-Credential,,,,,,,,
scheme name,The name of the identifier scheme.,"","",ELM Micro-Credential,,,,,,,,
scheme Id,Identification of the scheme.,"","",ELM Micro-Credential,,,,,,,,
attachment,"Any digital document (PDF, JPEG or PNG format) that an issuer has attached to the European digital credential document.","","",ELM Micro-Credential,,,,,,,,
credential profile,A label associated to the european digital credential. It should be provided using the EDC Controlled List of Credential Types.,"","",ELM Micro-Credential,,,,,,,,
display parameter,The display details of the credential.,"","",ELM Micro-Credential,,,,,,,,
Expiration date,The value of this property was used in the past to express the date and time the credential ceased to be valid. It has been deprecated in favor of validUntil,"","",ELM Micro-Credential,,,,,,,,
Related resource,"",cred:VerifiableCredential,"",ELM Micro-Credential,,,,,,,,
Render method,"",cred:VerifiableCredential,"",ELM Micro-Credential,,,,,,,,
badge,IRI or document that describes the type of badge being awarded. If an HTTP/HTTPS IRI The endpoint should be a BadgeClass.,"",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
narrative,A narrative that connects multiple pieces of evidence. Likely only present at this location if evidence is a multi-value array.,"",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
revocationReason,"Optional published reason for revocation, if revoked.","",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
version,The version identifier for the present edition of the entity.,"",rdfs:Literal,Open Badges 2.0 (2.0),,,,,,,,
