Spine term name,Spine term definition,Spine term class/type,Spine term range,Spine term origin,Mapping predicate label,Mapping predicate definition,Mapped term name,Mapped term definition,Mapped term class/type,Mapped term range,Mapped term origin,Comments,Transformation notes
scheme version,Identification of the version of the identifier scheme.,elm:LegalIdentifier,"",ELM Micro-Credential,Identical,The definition is identical in wording and intent.,scheme version,Identification of the version of the identifier scheme.,elm:LegalIdentifier,"",ELM Micro-Credential,Alignment for a synthetic property added to the spine. Synthetic uri: https://desm.credentialengine.org/resources/terms/scheme+version-synthetic,
Employee,Person employed for wages or salary by the organization.,"",ceterms:CredentialPerson,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Founding Date,Date the organization was founded.,"",xsd:string,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Framework URL,Credential framework to which the entity is aligned.,"",xsd:anyURI,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Has Alignment Map,Alignment map owned by the agent.,"",ceterms:AlignmentMap,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Has Cost Manifest,"Entity that describes a set of cost data applicable across the organization, sub-organization or sets of credentials or acitivites.","",ceterms:CostManifest,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Has Verification Service,Entity describing available systems provided by the agent to verify credential holders.,"",ceterms:VerificationServiceProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Identifier Type Name,"Formal name or acronym of the framework, scheme, type, or other organizing principle of this identifier, such as ISBN or ISSN.","",rdf:langString,Credential Transparency Description Language (1.0),Similar,"The definition is similar in intent, but with significant wording differences.",Type,The nature or genre of the resource.,adms:Identifier elm:LegalIdentifier,"",ELM Micro-Credential,,
Identifier Value Code,Alphanumeric string identifier of the entity.,"",xsd:string,Credential Transparency Description Language (1.0),Transformed,"A simple data transform will yield a value for the spine term; for example, concatenating values from several properties being mapped. Describe the transform in a comment on the alignment.",eIDAS identifier,"The official identification number of the organisation, as awarded by the relevant national authority.authority.",elm:Organisation,"",ELM - Micro-Credential,"In ELM Identifier is a Class, that has ""identifier content"" property and information about the scheme. The ELM also distinguishing between specific identifiers (eIDAS, VAT, etc.) that are frequently used in Europe.",
Identifier Value Code,Alphanumeric string identifier of the entity.,"",xsd:string,Credential Transparency Description Language (1.0),Transformed,"A simple data transform will yield a value for the spine term; for example, concatenating values from several properties being mapped. Describe the transform in a comment on the alignment.",Tax/Fiscal identifier,Fiscal ID of the organisation.,elm:Organisation,"",ELM - Micro-Credential,"In ELM Identifier is a Class, that has ""identifier content"" property and information about the scheme. The ELM also distinguishing between specific identifiers (eIDAS, VAT, etc.) that are frequently used in Europe.",
Identifier Value Code,Alphanumeric string identifier of the entity.,"",xsd:string,Credential Transparency Description Language (1.0),Transformed,"A simple data transform will yield a value for the spine term; for example, concatenating values from several properties being mapped. Describe the transform in a comment on the alignment.",VAT number,The Value-Added Tax ID.,elm:Organisation,"",ELM - Micro-Credential,"In ELM Identifier is a Class, that has ""identifier content"" property and information about the scheme. The ELM also distinguishing between specific identifiers (eIDAS, VAT, etc.) that are frequently used in Europe.",
Identifier Value Code,Alphanumeric string identifier of the entity.,"",xsd:string,Credential Transparency Description Language (1.0),Transformed,"A simple data transform will yield a value for the spine term; for example, concatenating values from several properties being mapped. Describe the transform in a comment on the alignment.",registration,"The registration is a fundamental relationship between a legal entity and the authority with which it is registered and that confers legal status upon it. rov:registration is a sub property of adms:identifier which has a range of adms:Identifier. rov:registration has a domain of rov:RegisteredOrganization.
he legal status of a registered organization is conferred on it by an authority within a given jurisdiction. The registration is therefore a fundamental relationship between a the organization and the authority with which it is registered. The details of the registration are provided as properties of the Identifier class which is defined by ADMS.",elm:Organisation,"",ELM - Micro-Credential,"In ELM Identifier is a Class, that has ""identifier content"" property and information about the scheme. The ELM also distinguishing between specific identifiers (eIDAS, VAT, etc.) that are frequently used in Europe.",
Identifier Value Code,Alphanumeric string identifier of the entity.,"",xsd:string,Credential Transparency Description Language (1.0),Transformed,"A simple data transform will yield a value for the spine term; for example, concatenating values from several properties being mapped. Describe the transform in a comment on the alignment.",notation,"This property assigns a notation as a typed litera
A notation, also known as classification code, is a string of characters such as ""T58.5"" or ""303.4833"" used to uniquely identify a concept within the scope of a given concept scheme.",adms:Identifier elm:LegalIdentifier,"",ELM Micro-Credential,"In ELM Identifier is a Class, that has ""identifier content"" property and information about the scheme. The ELM also distinguishing between specific identifiers (eIDAS, VAT, etc.) that are frequently used in Europe.",
Image,"Image, icon or logo that represents the entity including registered trade or service marks.","",xsd:anyURI,Credential Transparency Description Language (1.0),Similar,"The definition is similar in intent, but with significant wording differences.",logo,The logo of the organisation.,elm:Organisation,"",ELM - Micro-Credential,,
