Spine term name,Spine term definition,Spine term class/type,Spine term range,Spine term origin,Mapping predicate label,Mapping predicate definition,Mapped term name,Mapped term definition,Mapped term class/type,Mapped term range,Mapped term origin,Comments,Transformation notes
Weight,"Measurement of the weight, degree, percent, or strength of a recommendation, requirement, or comparison.","",xsd:float,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Alternate Name,"Alias for the entity including acronyms, alpha-numeric notations, and other forms of name abbreviations in common use such as PhD, MA, and BA.","",rdf:langString,Credential Transparency Description Language (1.0),Similar,"The definition is similar in intent, but with significant wording differences.",additionalName,Additional name. Includes what is often referred to as 'middle name' in the western world.,ob:Profile,schema:additionalName,Open Badges 3.0 (3.0),,
Accredited In,"Region or political jurisdiction such as a state, province or locale in which the credential, learning opportunity or assessment is accredited.","",ceterms:JurisdictionProfile,Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
IPEDS ID,Unique six digit identifier assigned to all U.S. institutions that have submitted data to the Integrated Postsecondary Education Data System (IPEDS).,"",xsd:string,Credential Transparency Description Language (1.0),,,,,,,,
related,Identifies a related version of the entity.,"",rdfs:Literal,Open Badges 2.0 (2.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Creator,An entity responsible for making the resource.,"","",ELM Micro-Credential,No Match,There is no match for the spine term in the schema being mapped.,,,,,,
Accredited By,"Quality assurance organization that provides official authorization to, or approval of, a credential, organization, assessment, or learning opportunity.","","ceterms:Organization, ceterms:QACredentialOrganization",Credential Transparency Description Language (1.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
revocationList,HTTP URI of the Badge Revocation List used for marking revocation of signed badges.,"",rdfs:Literal,Open Badges 2.0 (2.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
telephone,"A phone number for the entity. For maximum compatibility, the value should be expressed as a + and country code followed by the number with no spaces or other punctuation, like +16175551212 (E.164 format).","",rdfs:Literal,Open Badges 2.0 (2.0),Reworded,The definition is identical in intent but reworded; the properties are equivalent.,phone,A phone number.,ob:Profile,"",Open Badges 3.0 (3.0),,
type,"Valid JSON-LD representation of the Issuer or Profile type. In most cases, this will simply be the string Issuer or the more general Profile. An array including Issuer and other string elements that are either URLs or compact IRIs within the current context are allowed.","",rdfs:Literal,Open Badges 2.0 (2.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
verification,Instructions for how to verify Assertions published by this Profile.,"",rdfs:Literal,Open Badges 2.0 (2.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
version,The version identifier for the present edition of the entity.,"",rdfs:Literal,Open Badges 2.0 (2.0),No Match,There is no match for the spine term in the schema being mapped.,,,,,,
honorificSuffix,"Honorific suffix(es) following a person's name (e.g. 'M.D, PhD').",ob:Profile,schema:honorificSuffix,Open Badges 3.0 (3.0),Identical,The definition is identical in wording and intent.,honorificSuffix,"Honorific suffix(es) following a person's name (e.g. 'M.D, PhD').",ob:Profile,schema:honorificSuffix,Open Badges 3.0 (3.0),Alignment for a synthetic property added to the spine. Synthetic uri: https://desm.credentialengine.org/resources/terms/honorificSuffix-synthetic,
endorsement,"A claim made about this entity. Note: As endorsements must be published after the publication of the entity they endorse, it will not always be possible to establish a two-way linkage with this property.","",rdfs:Literal,Open Badges 2.0 (2.0),Reworded,The definition is identical in intent but reworded; the properties are equivalent.,endorsement,"In Achievement:Allows endorsers to make specific claims about the Achievement. These endorsements are signed with a Data Integrity proof format.
In AchievementCredential:Allows endorsers to make specific claims about the credential, and the achievement and profiles in the credential. These endorsements are signed with a Data Integrity proof format.
In Profile:Allows endorsers to make specific claims about the individual or organization represented by this profile. These endorsements are signed with a Data Integrity proof format.",ob:Profile,ob:EndorsementCredential,Open Badges 3.0 (3.0),,
